ID,Name,Department,GEO,Role,Rising_Star,Will_Relocate,Critical,Trending Perf,Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_Remote_1,EMP_Engagement_1,last_evaluation,number_project,average_montly_hours,time_spend_company,left_Company,promotion_last_5years,salary,Gender,Emp_Work_Status2,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Emp_Satisfaction,Emp_Competitive_1,Emp_Collaborative_1
4811,KAPPLER,IT,France,Senior Manager,3,1,1,10,6,0.4,9,8,3,6,5,216,13,1,1,medium,F,8,8,9,7,1,7,7,7
4812,JUSTIN,Warehouse,US,Senior Manager,3,1,1,7,6,0.4,7,8,3,7,4,182,17,0,1,medium,M,10,8,9,7,1,7,8,7
4813,JOSEPHS,Operations,Turkey,Senior Manager,3,0,0,8,6,0.4,10,7,3,6,4,191,16,0,0,low,F,5,1,1,2,2,2,2,3
4814,JIANG,Sales,Colombia,Senior Manager,3,0,0,7,5,0.4,7,9,2,7,3,140,14,0,0,high,F,2,1,1,2,2,2,2,5
4815,HUCKINS,Finance,US,Senior Manager,3,1,0,8,5,0.4,9,9,2,7,4,161,13,0,0,high,F,4,2,2,2,2,2,2,5
4816,HORACE,Human Resources,Australia,Senior Manager,3,0,1,8,6,0.4,10,9,3,6,4,200,17,0,1,low,M,10,9,8,7,1,7,10,6
4817,HOLUB,IT,UK,Senior Manager,3,1,1,7,6,0.4,7,8,3,7,4,176,13,0,1,medium,F,7,9,7,9,1,7,8,7
4818,HOFSTETTER,Warehouse,Australia,Manager,1,1,0,4,1,0.4,1,7,1,5,5,247,12,0,0,low,M,2,2,1,1,2,2,1,3
4819,HOEHN,Operations,Korea,Manager,1,0,0,3,1,0.4,2,6,2,3,3,262,11,1,0,low,M,4,1,2,1,2,2,1,2
4820,HIGGINSON,Sales,Colombia,Manager,1,1,0,1,1,0.4,4,4,2,4,4,154,13,1,0,low,F,5,1,1,1,1,2,1,3
4821,HENNINGS,Finance,Korea,Manager,1,1,0,6,2,0.4,7,7,1,5,3,186,14,0,0,medium,F,1,2,1,1,2,1,2,1
4822,HEID,Human Resources,China,Manager,1,0,0,4,2,0.4,3,6,2,3,2,98,13,1,0,low,F,1,2,1,2,1,1,1,5
4823,HAVEL,IT,Korea,Manager,1,1,0,5,1,0.4,7,4,2,3,3,268,14,1,0,low,F,3,1,1,2,1,2,2,5
4824,HAUER,Warehouse,Japan,Manager,1,0,0,5,2,0.4,6,6,2,5,5,178,15,0,0,medium,F,3,2,2,1,1,2,2,4
4825,HARNDEN,Operations,Australia,Manager,1,0,0,5,2,0.4,5,6,1,4,3,142,12,0,0,high,M,1,2,1,2,1,1,1,1
4826,HARGREAVES,Sales,Japan,Manager,1,1,0,3,1,0.4,1,7,2,4,4,160,14,1,0,low,M,5,2,2,1,1,2,2,1
4827,HANGER,Finance,France,Manager,1,1,0,3,2,0.4,3,7,1,4,5,232,11,0,0,medium,M,2,1,2,1,2,2,1,1
4828,GUILD,Human Resources,Korea,Manager,1,0,0,1,2,0.4,2,2,1,4,4,209,13,1,0,low,F,2,2,2,2,1,2,2,4
4829,GUIDI,IT,Korea,Manager,1,1,0,3,1,0.4,3,6,1,4,4,230,13,0,0,medium,M,2,1,2,2,2,2,1,2
4830,GRATE,Warehouse,France,Manager,1,1,0,2,2,0.4,4,3,2,4,5,223,14,1,0,low,F,4,1,2,1,1,2,1,2
4831,GRANDY,Operations,UK,Manager,1,1,0,1,1,0.4,2,3,1,3,4,201,12,0,0,high,F,4,1,2,1,2,2,1,5
4832,GRANDSTAFF,Sales,UK,Manager,1,0,0,2,1,0.4,3,3,1,3,3,224,12,0,0,medium,F,5,2,2,2,2,3,2,4
4833,GOZA,Finance,UK,Manager,1,0,0,6,2,0.4,5,4,1,4,2,251,11,1,0,low,F,3,1,1,2,2,2,1,2
4834,GOODRIDGE,IT,France,Manager,1,0,0,1,1,0.4,4,4,1,4,3,145,11,0,0,medium,M,4,1,1,2,2,2,1,2
4835,GOODFELLOW,IT,UK,Manager,1,1,0,4,2,0.4,3,4,1,4,5,271,14,0,0,medium,F,4,1,2,1,1,2,2,2
4836,GOGGANS,Warehouse,Colombia,Manager,1,1,0,4,2,0.4,2,6,2,3,3,218,11,0,0,medium,M,5,2,1,2,1,2,2,1
4837,GODLEY,Operations,Australia,Manager,1,1,0,4,1,0.4,1,4,2,5,3,229,13,0,0,low,M,4,1,1,2,1,2,2,4
4838,GIUSTI,Sales,US,Manager,1,0,0,3,2,0.4,3,7,2,4,5,278,10,1,0,low,F,2,2,1,1,2,2,1,1
4839,GILYARD,Finance,Korea,Manager,1,1,0,4,2,0.4,3,5,1,4,2,168,11,1,0,low,F,4,1,1,1,1,2,2,4
4840,GEOGHEGAN,Human Resources,France,Level 2-4,4,0,1,8,7,0.4,9,9,4,8,5,151,7,0,1,medium,M,9,8,10,9,2,8,7,7
4841,GALYON,IT,Turkey,Level 2-4,4,0,1,10,8,0.4,9,7,4,7,3,232,8,0,1,high,M,7,9,9,9,4,8,9,8
4842,GAETA,Warehouse,US,Level 2-4,4,0,1,9,8,0.4,9,9,3,10,3,140,9,0,1,low,F,9,8,7,8,3,7,8,10
4843,FUNES,Operations,Japan,Level 2-4,4,1,1,7,7,0.4,6,8,3,8,4,141,9,0,1,low,M,10,8,10,10,2,8,8,8
4844,FONT,Sales,France,Level 2-4,4,1,1,10,7,0.4,8,7,3,10,5,182,7,0,1,medium,F,10,9,8,10,4,8,8,7
4845,FLOR,IT,France,Level 2-4,4,0,1,8,7,0.4,9,9,4,7,4,139,7,0,1,low,F,10,9,7,8,4,8,6,9
4846,FLANARY,Human Resources,Colombia,Level 2-4,4,0,1,7,8,0.4,5,7,3,8,5,145,9,0,0,medium,F,7,8,7,8,5,7,6,7
4847,FALES,IT,China,Level 2-4,4,1,1,10,8,0.4,8,8,3,10,4,140,9,0,1,medium,M,10,10,8,7,4,8,9,10
4848,ERLANDSON,Warehouse,US,Level 2-4,4,1,1,7,8,0.4,6,9,3,8,3,267,8,0,1,medium,F,7,10,10,7,2,7,7,10
4849,ELLETT,Operations,US,Level 2-4,4,1,1,9,7,0.4,8,9,3,10,3,191,7,0,1,high,F,8,9,7,9,6,8,8,10
4850,ELIA,Sales,US,Level 2-4,4,0,1,7,8,0.4,6,9,2,8,4,133,8,0,1,medium,F,7,7,10,9,5,8,7,10
4851,EDINGER,IT,Australia,Level 2-4,4,0,1,7,7,0.4,6,8,2,8,4,170,10,0,0,low,F,7,10,9,7,2,7,8,10
4852,DZIEDZIC,Human Resources,China,Level 2-4,4,1,1,10,7,0.4,9,8,3,9,4,170,8,0,0,low,F,10,7,7,7,4,7,8,9
4853,DUERR,IT,Colombia,Level 2-4,4,1,1,10,8,0.4,9,7,4,8,3,149,10,0,0,medium,F,10,7,7,9,3,7,6,9
4854,DRAUGHN,Warehouse,Colombia,Level 2-4,4,1,1,7,8,0.4,7,9,2,7,5,279,8,0,1,medium,F,7,7,10,9,6,8,6,10
4855,DONOHO,Operations,US,Level 2-4,4,0,1,9,7,0.4,8,9,3,7,4,121,8,0,1,medium,M,7,9,7,8,4,7,6,7
4856,DIMATTEO,Sales,France,Level 2-4,4,1,1,8,8,0.4,8,7,4,8,3,139,9,0,1,high,M,10,10,10,7,4,8,6,10
4857,DEVOS,Finance,US,Level 2-4,4,1,1,10,7,0.4,8,8,5,10,3,265,9,0,1,high,F,9,8,9,8,5,8,7,9
4858,DEMATTEO,Human Resources,Japan,Level 2-4,4,0,1,10,8,0.4,10,8,3,7,5,239,7,0,1,medium,M,10,10,10,8,4,8,8,8
4859,DEGNAN,IT,Turkey,Level 2-4,4,0,1,7,8,0.4,7,7,2,7,4,119,9,0,0,medium,M,7,7,7,10,4,7,8,10
4860,DARLINGTON,Warehouse,Japan,Level 2-4,4,1,1,7,7,0.4,5,8,2,7,4,265,9,0,1,low,F,10,7,10,8,5,8,9,7
4861,DANIS,Operations,Korea,Level 2-4,4,1,1,10,8,0.4,9,7,3,7,5,144,7,0,1,medium,F,8,9,7,7,3,7,6,9
4862,DAM,Sales,Australia,Level 2-4,4,0,1,7,8,0.4,5,9,2,8,3,148,9,0,1,low,F,10,10,9,9,5,9,7,9
4863,DAHLSTROM,Finance,Australia,Level 2-4,4,0,1,8,7,0.4,10,9,3,8,5,269,10,0,1,medium,M,10,7,8,8,5,8,9,7
4864,DAHLKE,Human Resources,Korea,Level 2-4,4,1,1,10,7,0.4,10,7,4,7,2,188,10,0,1,medium,F,8,8,9,8,10,9,1,7
4865,CZAJKOWSKI,IT,UK,Level 2-4,4,0,1,10,7,0.4,10,8,3,7,3,187,7,0,1,high,M,10,10,10,8,8,9,1,9
4866,CUMBIE,Warehouse,Colombia,Level 2-4,4,0,1,7,7,0.4,7,7,4,7,6,168,8,0,1,high,F,10,10,9,10,3,8,8,8
4867,CULBERT,Operations,Australia,Level 2-4,4,0,1,9,7,0.4,10,9,3,7,4,199,8,0,1,low,F,8,10,10,10,2,8,8,8
4868,CROSIER,Sales,Colombia,Level 2-4,4,1,1,8,8,0.4,9,7,3,8,4,261,10,0,1,low,F,10,9,8,7,5,8,7,8
4869,CROLEY,IT,France,Level 2-4,4,0,1,8,8,0.4,9,9,2,8,3,218,8,0,1,low,M,10,8,7,10,3,8,9,9
4870,CORRY,Human Resources,Japan,Level 2-4,4,0,1,9,8,0.4,8,9,3,8,3,196,8,0,1,low,F,9,8,7,9,6,8,7,10
4871,CLINGER,IT,UK,Level 2-4,4,1,1,9,8,0.4,9,7,4,7,4,147,8,0,1,medium,F,9,7,7,9,5,7,9,8
4872,CHESHIRE,Warehouse,Turkey,Level 2-4,4,0,1,7,8,0.4,7,8,3,8,4,208,8,0,1,high,M,9,7,8,10,4,8,9,10
4873,CHALKER,Operations,Australia,Level 2-4,5,1,1,8,9,0.4,9,8,3,10,3,178,10,0,1,low,F,9,10,8,8,3,8,6,7
4874,CEPHAS,Sales,Colombia,Level 2-4,5,0,1,10,10,0.4,8,8,4,9,4,197,9,0,1,medium,M,7,7,8,9,4,7,6,7
4875,CAYWOOD,IT,Colombia,Level 2-4,5,0,1,10,10,0.4,8,9,3,10,2,206,8,0,1,low,F,9,7,9,10,6,8,8,8
4876,CAVALIER,Human Resources,Japan,Level 2-4,5,0,1,9,10,0.4,10,8,4,10,4,222,8,0,1,medium,M,10,9,8,10,2,8,6,7
4877,CAPEHART,IT,Australia,Level 2-4,5,1,1,9,10,0.4,9,8,4,8,3,247,7,0,1,medium,M,9,8,7,9,5,8,8,9
4878,CALES,Warehouse,Japan,Level 2-4,5,0,1,7,10,0.4,6,8,5,8,4,222,9,0,1,medium,M,8,7,9,10,3,7,7,8
4879,CADIZ,Operations,Japan,Level 2-4,5,1,1,9,9,0.4,9,7,5,8,6,205,9,0,1,low,M,9,9,10,9,3,8,6,9
4880,BUSSIERE,Sales,Australia,Level 2-4,5,1,1,8,8,0.4,10,8,5,10,5,244,7,0,1,low,M,10,9,7,7,3,7,8,9
4881,BURRISS,Finance,Colombia,Level 2-4,5,0,1,10,8,0.4,9,9,3,8,2,194,9,0,1,medium,F,8,9,9,10,3,8,8,7
4882,BURKART,Human Resources,Korea,Level 2-4,5,1,1,8,9,0.4,9,7,3,10,4,190,9,0,0,high,M,10,7,7,9,2,7,9,8
4883,BRUNDIDGE,IT,Japan,Level 2-4,5,1,1,10,10,0.4,8,9,5,9,3,169,9,0,1,low,M,9,7,8,8,2,7,9,8
4884,BRONSTEIN,Warehouse,US,Level 2-4,5,0,1,10,10,0.4,8,7,3,10,3,251,8,0,1,low,F,7,10,7,9,4,7,8,7
4885,BREEZE,Operations,US,Level 2-4,5,1,1,10,9,0.4,10,8,4,9,2,161,8,0,0,medium,F,7,7,8,8,2,6,7,7
4886,BRADT,Sales,Turkey,Level 2-4,5,0,1,10,10,0.4,10,8,5,9,3,252,9,0,1,low,M,10,9,9,9,6,9,7,8
4887,BOYDSTON,IT,Korea,Level 2-4,5,0,1,8,10,0.4,9,7,3,10,4,271,10,0,1,low,F,8,8,10,10,5,8,7,10
4888,BOSTROM,Human Resources,Korea,Level 2-4,5,0,1,7,8,0.4,5,8,3,7,5,150,9,0,1,medium,M,9,10,10,8,3,8,7,10
4889,BOREL,IT,Australia,Level 2-4,5,1,1,10,9,0.4,9,9,3,9,3,212,10,0,0,high,M,8,9,7,8,5,7,8,9
4890,BOLLES,Warehouse,Korea,Level 2-4,5,0,1,9,9,0.4,8,7,5,8,5,198,7,0,0,high,M,8,8,8,9,3,7,9,10
4891,BLAY,Operations,France,Level 2-4,5,1,1,10,8,0.4,8,8,5,9,3,266,9,0,1,high,F,10,7,9,9,6,8,6,7
4892,BLACKWELDER,Sales,France,Level 2-4,5,1,1,9,8,0.4,10,9,3,8,3,255,10,0,0,low,F,7,10,7,9,4,7,7,7
4893,BISSETT,Finance,Japan,Level 2-4,5,1,1,10,10,0.4,8,9,5,8,4,166,7,0,0,high,F,7,8,8,10,3,7,9,10
4894,BEVERS,Human Resources,Turkey,Level 2-4,5,0,1,9,8,0.4,9,7,3,9,3,232,9,0,0,low,F,7,9,9,8,2,7,8,8
4895,BESTER,IT,France,Level 2-4,5,0,1,10,10,0.4,9,8,5,9,3,198,9,0,1,medium,F,7,9,8,8,6,8,9,8
4896,BERNARDINO,Warehouse,China,Level 2-4,5,1,1,7,10,0.4,7,7,5,8,4,170,10,0,1,low,F,10,7,7,9,5,8,6,7
4897,BENEFIEL,Operations,UK,Level 2-4,5,1,1,10,8,0.4,8,8,3,8,4,162,10,0,1,high,M,10,7,9,9,3,8,8,8
4898,BELOTE,Sales,UK,Level 2-4,5,0,1,8,9,0.4,10,7,4,9,3,135,8,0,0,high,M,10,7,8,8,4,7,7,7
4899,BEEDLE,Finance,Turkey,Level 2-4,5,1,1,7,10,0.4,5,9,5,10,3,242,8,0,1,medium,M,9,8,9,7,3,7,6,10
4900,BECKLES,Human Resources,Australia,Level 2-4,5,1,1,7,8,0.4,5,9,4,10,4,206,8,0,1,medium,F,7,8,10,8,5,8,9,9
4901,BAYSINGER,IT,Japan,Level 2-4,5,0,1,10,9,0.4,10,9,5,9,5,253,10,0,1,medium,M,9,8,9,9,2,7,8,10
4902,BASSLER,Warehouse,France,Level 2-4,5,0,1,8,9,0.4,10,9,3,8,5,208,8,0,0,medium,M,9,9,8,9,2,7,6,10
4903,BARTEE,Operations,France,Level 1,5,1,1,10,8,0.4,8,9,3,8,3,250,5,0,1,low,F,9,10,10,9,2,8,9,7
4904,BARLETT,Sales,Australia,Level 1,5,0,1,10,10,0.4,10,8,5,8,4,143,7,0,1,medium,M,9,7,10,8,8,8,2,9
4905,BARGAS,Finance,US,Level 1,5,0,1,8,9,0.4,8,8,3,10,5,236,5,0,1,medium,F,8,7,9,7,9,8,5,10
4906,BAREFIELD,Support,Colombia,Level 1,5,0,1,9,9,0.4,10,9,4,8,4,147,3,0,1,low,M,9,10,9,7,6,8,7,7
4907,BAPTISTA,IT,Colombia,Level 1,5,1,1,9,8,0.4,8,8,4,10,2,113,6,0,1,high,M,8,7,9,10,6,8,8,10
4908,ARTERBURN,Warehouse,US,Level 1,5,1,1,9,9,0.4,10,9,3,8,5,165,8,0,1,high,M,10,7,7,10,6,8,6,10
4909,ARMAS,Operations,Australia,Level 1,5,0,1,7,8,0.4,5,9,4,9,4,235,5,0,1,high,M,8,10,8,7,3,7,6,7
4910,APPERSON,Sales,China,Level 1,5,0,1,7,8,0.4,5,7,3,10,4,186,4,0,1,medium,F,7,9,9,9,2,7,7,8
4911,AMOROSO,Finance,UK,Level 1,5,0,1,8,8,0.4,10,7,4,10,4,274,6,0,1,medium,F,7,10,7,10,6,8,8,9
4912,AMEDEE,IT,Turkey,Level 1,5,1,1,8,8,0.4,8,9,4,9,2,163,5,0,1,medium,F,10,9,8,8,3,8,8,8
4913,ZULLO,IT,France,Level 1,5,1,1,9,8,0.4,8,9,3,9,4,161,4,0,1,low,F,9,9,8,9,4,8,6,8
4914,ZELLNER,Warehouse,UK,Level 1,5,1,1,7,10,0.4,6,9,5,9,4,264,5,0,1,high,M,10,10,9,7,4,8,8,7
4915,YELTON,Operations,France,Level 1,5,1,1,10,10,0.4,8,9,4,9,3,255,7,0,0,medium,M,7,7,9,10,3,7,8,8
4916,WILLEMS,Sales,China,Level 1,5,1,1,8,8,0.4,10,8,3,8,4,258,4,0,1,medium,M,10,8,8,7,3,7,8,8
4917,WILKIN,Finance,China,Level 1,5,1,1,9,10,0.4,9,9,4,10,5,261,7,0,1,medium,M,10,7,8,9,3,7,7,7
4918,WIGGIN,IT,Australia,Level 1,1,1,0,3,2,0.4,4,5,2,3,5,188,4,0,0,medium,M,3,2,1,2,1,2,1,2
4919,WIDMAN,IT,China,Level 1,5,0,1,8,8,0.4,10,7,3,10,3,188,7,0,1,high,M,8,8,8,10,4,8,7,10
4920,WELK,Warehouse,Colombia,Level 1,3,1,0,7,5,0.4,5,7,3,7,3,160,5,0,0,medium,M,2,1,1,2,2,2,2,4
4921,WEINGARTEN,Operations,Japan,Level 1,3,1,1,7,5,0.4,6,8,3,6,3,214,6,0,0,low,M,2,2,1,2,1,2,2,5
4922,WALLA,Sales,Korea,Level 1,5,1,1,9,10,0.4,10,9,3,10,4,209,3,0,1,medium,F,7,10,8,7,4,7,9,7
4923,VIERS,Finance,China,Level 1,5,0,1,7,10,0.4,6,9,4,10,4,208,8,0,1,high,M,7,7,9,7,8,8,1,7
4924,VESS,IT,Colombia,Level 1,5,1,1,10,10,0.4,10,9,5,8,3,265,7,0,0,high,M,9,7,7,9,2,7,6,8
4925,VERDI,IT,Korea,Level 1,5,0,1,10,8,0.4,8,9,5,8,4,161,7,0,1,high,F,9,9,8,7,5,8,8,9
4926,VEAZEY,Warehouse,Colombia,Level 1,5,0,1,8,10,0.4,8,8,4,8,5,217,3,0,0,high,F,8,10,7,8,3,7,9,7
4927,VANNOTE,Operations,France,Level 1,5,0,1,9,8,0.4,9,8,5,9,3,210,3,0,0,low,F,10,8,8,7,2,7,8,9
4928,TULLOS,Sales,US,Level 1,3,0,1,7,6,0.4,6,8,3,7,3,179,5,0,1,medium,F,9,7,8,8,1,7,9,8
4929,TRUDELL,Finance,China,Level 1,5,1,1,8,10,0.4,8,9,3,10,3,180,5,1,1,low,M,3,6,7,7,5,6,2,3
4930,TROWER,Support,China,Level 1,5,1,1,10,8,0.4,8,9,3,9,3,153,5,1,1,low,F,7,9,9,8,6,8,2,1
4931,TROSPER,IT,France,Level 1,5,0,1,9,10,0.4,9,9,3,8,4,162,6,0,1,high,M,8,9,8,9,5,8,8,10
4932,TRIMM,Warehouse,China,Level 1,3,0,0,7,5,0.4,7,8,2,7,3,135,8,0,0,low,M,2,2,1,2,1,2,2,2
4933,TREW,Operations,US,VP,2,0,0,6,3,0.4,7,5,1,3,3,242,18,0,0,medium,F,5,1,2,2,1,2,1,3
4934,TOUSIGNANT,Sales,Japan,Senior Director,2,1,0,4,5,0.4,2,7,1,4,4,206,18,0,0,medium,F,4,2,1,2,1,2,2,2
4935,TOPP,Finance,Turkey,Senior Director,2,0,0,4,5,0.4,4,7,1,5,5,253,17,0,0,medium,M,1,1,2,1,1,1,2,1
4936,TOCCO,Human Resources,Japan,Senior Director,2,1,0,4,3,0.4,2,6,2,3,5,208,17,0,0,medium,M,2,1,2,2,1,2,2,1
4937,THORESON,IT,Colombia,Director,3,0,0,8,5,0.4,10,9,2,7,3,250,19,0,0,low,F,2,2,1,2,1,2,2,4
4938,TERHUNE,Warehouse,UK,Director,3,0,0,10,6,0.4,9,8,3,7,4,143,16,1,0,medium,F,5,4,2,2,1,3,1,2
4939,TATOM,Operations,China,Director,3,1,0,8,5,0.4,8,9,3,7,5,236,19,0,0,medium,M,3,5,5,2,2,3,4,1
4940,SUNIGA,Sales,US,Director,3,0,0,10,6,0.4,9,7,2,7,4,147,16,0,1,low,F,10,7,8,7,7,8,5,7
4941,SUMTER,Finance,Korea,Director,3,0,0,8,5,0.4,10,9,2,7,2,113,19,0,0,low,F,1,2,2,1,2,2,2,5
4942,STEEVES,Human Resources,Turkey,Director,3,0,1,9,6,0.4,10,9,3,6,5,165,16,0,1,high,M,10,8,7,7,1,7,8,6
4943,STANSELL,IT,Colombia,Senior Manager,3,0,1,9,5,0.4,10,8,2,7,4,235,17,1,0,low,M,3,3,5,5,3,4,7,4
4944,SOLTIS,Warehouse,Korea,Senior Manager,3,1,1,8,5,0.4,10,9,3,7,4,186,15,0,0,low,M,2,1,1,2,1,1,2,1
4945,SLOSS,Operations,US,Senior Manager,3,1,1,10,6,0.4,9,7,3,6,4,274,14,1,0,medium,F,5,1,2,1,2,2,1,3
4946,SLAVEN,Sales,France,Senior Manager,3,1,1,10,5,0.4,9,8,3,6,2,163,12,0,0,medium,M,2,2,1,2,2,2,2,4
4947,SING,Finance,France,Senior Manager,3,0,0,10,5,0.4,8,9,2,7,4,161,17,0,0,low,F,2,1,2,1,1,1,2,1
4948,SHISLER,Human Resources,France,Senior Manager,3,0,1,7,6,0.4,6,7,2,7,4,264,14,0,1,low,M,8,8,9,7,1,7,9,6
4949,SHERIFF,IT,Colombia,Senior Manager,3,0,1,9,6,0.4,8,9,2,6,3,255,16,1,1,medium,M,10,8,9,8,1,7,8,6
4950,SHANLEY,Warehouse,Colombia,Senior Manager,3,0,1,7,6,0.4,6,9,2,7,4,258,15,0,1,medium,M,10,7,8,9,1,7,10,6
4951,SERVANTES,Operations,Japan,Senior Manager,3,0,0,7,6,0.4,5,7,3,7,5,261,16,0,0,medium,F,8,8,8,8,1,7,9,9
4952,SELDERS,Sales,US,Senior Manager,3,0,1,7,6,0.4,7,7,2,6,5,188,15,0,1,medium,F,10,9,7,8,1,7,9,8
4953,SEGREST,Finance,France,Senior Manager,3,1,1,8,6,0.4,8,8,3,6,3,188,12,0,0,high,F,5,2,1,1,1,2,1,1
4954,SEESE,Human Resources,France,Senior Manager,3,1,0,10,5,0.4,10,8,3,6,3,160,16,0,0,medium,F,1,1,2,2,2,2,1,5
4955,SEEBER,IT,Colombia,Manager,1,0,0,1,1,0.4,2,3,1,4,3,214,11,1,0,low,F,1,2,1,1,1,1,1,3
4956,SCHAIBLE,Warehouse,Colombia,Manager,1,1,0,3,2,0.4,2,6,2,5,4,209,13,0,0,medium,F,5,1,2,2,2,2,1,4
4957,SAVALA,Operations,Colombia,Manager,1,1,0,1,2,0.4,3,4,1,5,4,208,12,0,0,high,F,1,5,1,5,5,3,1,1
4958,SARTOR,Sales,Australia,Manager,1,0,0,2,1,0.4,4,3,2,3,3,265,14,1,0,low,M,1,1,2,2,1,1,4,5
4959,RUTT,Finance,Korea,Manager,1,0,0,6,1,0.4,7,5,2,5,4,161,12,0,0,high,F,1,2,1,2,1,1,2,2
4960,RUMBAUGH,Human Resources,Australia,Manager,1,1,0,3,1,0.4,1,6,2,3,5,217,12,0,0,high,M,2,1,2,1,1,1,2,4
4961,RUIS,IT,Australia,Manager,1,1,0,2,2,0.4,2,4,2,3,3,210,15,1,0,low,F,4,1,1,1,1,2,2,4
4962,ROTEN,Warehouse,France,Manager,1,1,0,3,1,0.4,1,7,2,5,3,179,12,0,0,low,F,3,2,2,2,1,2,2,4
4963,ROESSLER,Operations,UK,Manager,1,1,0,5,1,0.4,6,4,2,3,3,180,12,1,0,medium,M,2,1,2,2,2,2,1,3
4964,RITENOUR,Sales,Colombia,Manager,1,0,0,5,1,0.4,6,6,1,5,4,158,14,1,0,medium,F,5,1,2,2,2,2,1,2
4965,RINEY,Finance,UK,Manager,1,1,0,2,2,0.4,3,4,1,5,6,291,12,1,0,medium,F,1,1,1,2,1,1,2,5
4966,RESTIVO,IT,Australia,Manager,1,0,0,6,2,0.4,6,7,2,3,5,231,13,0,0,medium,F,2,2,2,1,2,2,1,2
4967,RENE,IT,US,Manager,1,1,0,3,2,0.4,3,7,1,3,4,163,11,1,0,low,F,5,2,2,2,2,3,2,4
4968,RENARD,Warehouse,Turkey,Manager,1,0,0,5,1,0.4,5,5,1,4,5,146,12,1,0,low,M,3,1,2,2,2,2,2,3
4969,RAKESTRAW,Operations,Australia,Manager,1,1,0,6,2,0.4,5,5,2,5,2,272,13,0,0,low,M,5,2,2,1,1,2,2,1
4970,RAKE,Sales,Turkey,Manager,1,0,0,1,2,0.4,2,4,1,4,2,121,14,0,0,medium,F,1,2,2,1,2,2,2,2
4971,RACHAL,Finance,Colombia,Manager,1,1,0,5,1,0.4,6,7,2,5,6,118,11,0,0,low,M,2,1,1,1,2,1,2,5
4972,QUIROS,Human Resources,Australia,Manager,1,0,0,6,2,0.4,6,4,2,5,3,173,14,0,0,low,M,5,1,2,2,1,2,1,2
4973,PULLIN,IT,Australia,Manager,1,1,0,2,2,0.4,2,2,2,3,4,243,15,1,0,low,M,5,1,1,1,1,2,1,2
4974,PRUDHOMME,Warehouse,UK,Manager,1,1,0,6,2,0.4,6,5,1,5,5,229,12,0,0,medium,M,4,2,1,1,2,2,1,4
4975,PRIMEAUX,Operations,US,Manager,1,1,0,1,1,0.4,1,3,2,3,5,96,11,0,0,medium,F,3,2,2,1,1,2,2,3
4976,PRESTRIDGE,Sales,Colombia,Manager,1,0,0,3,2,0.4,2,5,2,5,5,249,11,0,0,medium,M,5,2,1,2,1,2,2,1
4977,PRESSWOOD,IT,Australia,Level 2-4,3,0,1,7,6,0.4,5,7,2,7,3,165,7,0,0,low,F,8,8,8,7,1,6,7,6
4978,PONTE,Human Resources,Japan,Level 2-4,3,0,1,8,6,0.4,9,8,2,7,4,223,9,0,0,medium,F,5,1,1,1,1,2,1,3
4979,POLZIN,IT,US,Level 2-4,3,0,0,8,6,0.4,10,8,2,6,3,267,9,0,0,low,F,7,8,8,8,1,6,9,8
4980,POARCH,Warehouse,Japan,Level 2-4,3,1,0,7,5,0.4,6,7,3,6,4,140,8,0,0,low,F,4,1,1,1,1,2,1,3
4981,PITTENGER,Operations,Australia,Level 2-4,3,0,1,8,6,0.4,9,9,3,7,4,209,7,0,1,low,F,7,7,8,7,1,6,8,6
4982,PIGGOTT,Sales,France,Level 2-4,3,1,1,10,6,0.4,8,9,2,7,3,243,9,0,0,medium,M,5,1,2,1,2,2,2,2
4983,PICKELL,Finance,Colombia,Level 2-4,3,0,0,7,5,0.4,7,8,3,6,3,175,7,0,0,medium,F,2,1,1,1,2,1,2,2
4984,PHANEUF,Human Resources,Australia,Level 2-4,3,0,0,9,5,0.4,9,8,2,6,5,133,8,1,0,low,M,4,1,2,2,1,2,2,4
4985,PARVIN,IT,US,Level 2-4,3,0,1,9,5,0.4,10,8,3,6,3,167,9,1,0,medium,F,3,2,1,1,1,2,2,2
4986,PARMLEY,Warehouse,Turkey,Level 2-4,3,1,1,7,5,0.4,5,7,3,6,6,172,10,0,0,high,F,1,1,1,1,2,1,2,3
4987,PALMERI,Operations,Australia,Level 2-4,3,0,1,7,6,0.4,6,9,3,6,5,257,9,0,1,low,M,10,8,9,7,1,7,7,9
4988,PAISLEY,Sales,Korea,Level 2-4,3,1,1,10,6,0.4,10,8,3,7,3,202,9,0,1,medium,M,10,8,8,7,9,8,7,6
4989,OZMENT,Finance,France,Level 2-4,3,1,1,10,5,0.4,10,7,3,6,3,223,9,1,0,medium,F,1,2,2,2,1,2,1,2
4990,ORMOND,Human Resources,US,Level 2-4,3,1,0,7,6,0.4,5,7,2,6,3,182,8,0,0,low,F,9,9,8,7,1,7,9,9
4991,ORDAZ,IT,France,Level 2-4,5,0,1,7,9,0.4,7,9,3,9,3,234,7,0,0,medium,M,9,8,7,8,2,7,8,10
4992,ONO,Warehouse,Japan,Level 2-4,5,1,1,8,9,0.4,8,7,3,10,3,140,8,0,1,low,F,10,8,10,10,3,8,9,10
